complaint_text,ipc_sections
"They defrauded me of ₹50,000 using fake documents.",420
They used force and took my phone from me. The accused escaped immediately.,"392,506"
He assaulted me with his hand and caused hurt. Please register a case.,323
My wallet was stolenn from my shop. The accused escaped immediately.,379
They used force and took my wallet from me. Please register a case.,392
I was looted near ATM and my gold chain was taken.,392
Unknown person stole my gold chain from office.,"379,411"
"He collected ₹1,00,000 from me by giving false promises. Please register a case.",420
"He collected ₹1,00,000 from me by giving false promises.",420
They made forged certificates to get benefits. It happened suddenly.,"468,471"
He beat me with his hand and caused hurt.,"323,506"
"After marriage, my husband demanded dowry and treated me cruelly. Please register a case.",498A
The accused kept my documents and is not returning it. The accused escaped immediately.,"406,420"
He misused my laptop entrusted to him and did not give it back. I request legal action.,406
He warned to kill me if I report to police. The accused escaped immediately.,506
They threatened my family if we take legal action.,506
They assaulted me and I suffered simple injuries. Please register a case.,323
The accused beat me during an argument and I got pain.,323
Someone used forged papers to claim a loan. I request legal action.,471
He intentionally insulted me leading to breach of peace. I request legal action.,504
They warned my family if we take legal action.,506
I gave my two-wheeler for safekeeping but he cheated and kept it.,406
A group of people stopped me and looted my phone. It happened suddenly.,392
Unknown person snatched my cell phone from bazaar.,"379,411"
The accused intimidated me with serious consequences.,506
He intentionally insulted me leading to breach of peace.,504
The accused beat me during an argument and I got pain.,323
He intimidated to kill me if I report to police. It happened suddenly.,506
"A person took ₹50,000 promising a bus stopiness profit and later blocked me.",420
They used force and took my phone from me.,"392,506"
The accused beat me during an argument and I got pain.,323
My in-laws are mentally and physically harassing me for money.,498A
I gave my cash for safekeeping but he cheated and kept it. It happened suddenly.,406
The accused beat me during an argument and I got pain. Please register a case.,323
He used a forged document as genuine for property registration. Please register a case.,471
He intentionally insulted me leading to breach of peace.,504
He sexually harassed me in public and tried to molest me.,354
My bag got snatchedn near railway premises at morning.,"379,411"
They used apublic busive words and humiliated me. The accused escaped immediately.,"504,323"
Someone snatched my watch from workplace while I was shopping. It happened suddenly.,"379,411"
The accused insulted me and provoked me. The accused escaped immediately.,"504,323"
Someone forged my documents and used them for loan. Please register a case.,468
My in-laws are mentally and physically harassing me for money.,498A
He intentionally insulted me leading to breach of peace. The accused escaped immediately.,"504,323"
My husband and in-laws harassed me for dowry and tortured me.,498A
He intentionally insulted me leading to breach of peace. Please register a case.,504
"They defrauded me of ₹2,00,000 using fake documents. The accused escaped immediately.",420
"After marriage, my husband demanded dowry and treated me cruelly. The accused escaped immediately.",498A
They threw stones and destroyed my smartphone. The accused escaped immediately.,427
He misused my phone entrusted to him and did not give it back. Please register a case.,"406,420"
They assaulted me and I suffered simple injuries. Please register a case.,323
My in-laws are mentally and physically harassing me for money.,498A
My friend took my cash and refused to return it.,"406,420"
He slapped me and I was injured. I request legal action.,323
They threw stones and destroyed my cell phone. It happened suddenly.,427
I gave my laptop for safekeeping but he cheated and kept it. Please register a case.,406
The accused kept my cash and is not returning it.,406
The accused submitted fake documents as original.,471
Someone stolen my wallet from shop while I was waiting. The accused escaped immediately.,"379,411"
